i,j,k,theta,a,b,fare
AH,B1,3.00,1.5,12,1.5,500
AH,B2,3.00,1.5,8,2,340
AH,E1,10.00,1.2,6,2,200
AH,E2,13.33,1.2,4,3,160
AH,E3,22.00,1,3,4,130
AH,E4,30.00,1,2,4,100
HA,B1,3.00,1.5,12,1.5,500
HA,B2,3.00,1.5,8,2,340
HA,E1,10.00,1.2,6,2,200
HA,E2,13.33,1.2,4,3,160
HA,E3,22.00,1,3,4,130
HA,E4,30.00,1,2,4,100
BH,B1,3.00,1.5,12,1.5,500
BH,B2,3.00,1.5,8,2,340
BH,E1,10.00,1.2,6,2,200
BH,E2,13.33,1.2,4,3,160
BH,E3,22.00,1,3,4,130
BH,E4,30.00,1,2,4,100
HB,B1,3.00,1.5,12,1.5,500
HB,B2,3.00,1.5,8,2,340
HB,E1,10.00,1.2,6,2,200
HB,E2,13.33,1.2,4,3,160
HB,E3,22.00,1,3,4,130
HB,E4,30.00,1,2,4,100
CH,B1,2.00,1.5,12,1.5,500
CH,B2,2.00,1.5,8,2,340
CH,E1,5.00,1.2,6,2,200
CH,E2,6.67,1.2,4,3,160
CH,E3,11.00,1,3,4,130
CH,E4,15.00,1,2,4,100
HC,B1,2.00,1.5,12,1.5,500
HC,B2,2.00,1.5,8,2,340
HC,E1,5.00,1.2,6,2,200
HC,E2,6.67,1.2,4,3,160
HC,E3,11.00,1,3,4,130
HC,E4,15.00,1,2,4,100
AHB,B1,2.00,1.5,12,1.5,800
AHB,B2,2.00,1.5,8,2,540
AHB,E1,7.50,1.2,6,2,320
AHB,E2,10.00,1.2,4,3,260
AHB,E3,16.50,1,3,4,210
AHB,E4,22.50,1,2,4,160
BHA,B1,2.00,1.5,12,1.5,800
BHA,B2,2.00,1.5,8,2,540
BHA,E1,7.50,1.2,6,2,320
BHA,E2,10.00,1.2,4,3,260
BHA,E3,16.50,1,3,4,210
BHA,E4,22.50,1,2,4,160
AHC,B1,3.00,1.5,12,1.5,800
AHC,B2,3.00,1.5,8,2,540
AHC,E1,15.00,1.2,6,2,320
AHC,E2,20.00,1.2,4,3,260
AHC,E3,33.00,1,3,4,210
AHC,E4,45.00,1,2,4,160
CHA,B1,3.00,1.5,12,1.5,800
CHA,B2,3.00,1.5,8,2,540
CHA,E1,15.00,1.2,6,2,320
CHA,E2,20.00,1.2,4,3,260
CHA,E3,33.00,1,3,4,210
CHA,E4,45.00,1,2,4,160
BHC,B1,3.00,1.5,12,1.5,800
BHC,B2,3.00,1.5,8,2,540
BHC,E1,15.00,1.2,6,2,320
BHC,E2,20.00,1.2,4,3,260
BHC,E3,33.00,1,3,4,210
BHC,E4,45.00,1,2,4,160
CHB,B1,3.00,1.5,12,1.5,800
CHB,B2,3.00,1.5,8,2,540
CHB,E1,15.00,1.2,6,2,320
CHB,E2,20.00,1.2,4,3,260
CHB,E3,33.00,1,3,4,210
CHB,E4,45.00,1,2,4,160